,_ID,TimeSt,Country,Province,City,Latitude,Longitude,POI,Distance
4745,4754521,2017-06-21 11:15:33.310,CA,ON,Toronto,43.7129,-79.3888,POI3,502687.7452487099
4746,4754588,2017-06-21 13:15:33.327,CA,ON,Toronto,43.7129,-79.3888,POI3,502687.7452487099
4747,4754594,2017-06-21 09:15:33.403,CA,ON,Bolton,43.9319,-79.8056,POI3,523496.2101170677
4748,4754674,2017-06-21 03:15:33.430,CA,ON,Aurora,44.01,-79.6826,POI3,511145.79563104
4749,4754724,2017-06-21 16:15:33.440,CA,ON,Aurora,44.01,-79.6826,POI3,511145.79563104
4750,4754726,2017-06-21 08:15:33.463,CA,ON,Woodbridge,43.8069,-79.5978,POI3,513557.34370057896
4751,4754729,2017-06-21 11:15:33.470,CA,ON,Markham,43.8747,-79.2599,POI3,485734.285557433
4752,4754733,2017-06-21 13:15:33.540,CA,ON,Oakville,43.4462,-79.6688,POI3,536138.5379869045
4753,4754802,2017-06-21 17:15:33.610,CA,ON,Toronto,43.6414,-79.4151,POI3,508070.21124906966
4754,4754882,2017-06-21 03:15:34.893,CA,AB,Edmonton,53.4567,-113.5801,POI1,11744.006229785204
4755,4754934,2017-06-21 22:15:35.837,CA,AB,Edmonton,53.5178,-113.552,POI1,5397.25699234219
4756,4754955,2017-06-21 15:15:36.593,CA,BC,Abbotsford,49.04575,-122.31125,POI1,790836.9009578078
4757,4755010,2017-06-21 03:15:37.123,CA,SK,Saskatoon,52.1333,-106.6667,POI1,483977.77781233337
4759,4755110,2017-06-21 19:15:37.250,CA,BC,Vancouver,49.22132,-123.06878,POI1,819578.3872154383
4760,4755193,2017-06-21 18:15:33.610,CA,ON,Ottawa,45.3745,-75.7095,POI3,168004.61423562604
4762,4755280,2017-06-21 09:15:34.870,CA,SK,Saskatoon,52.1225,-106.72488,POI1,480734.4500350864
4763,4755344,2017-06-21 21:15:37.213,CA,MB,Winnipeg,49.8858,-97.225,POI1,1188658.1988753614
4764,4755372,2017-06-21 22:15:33.323,CA,ON,Kanata,45.3387,-75.9001,POI3,183263.29124130774
4765,4755428,2017-06-21 22:15:33.477,CA,ON,Mississauga,43.6046,-79.6729,POI3,528504.6202081786
4766,4755444,2017-06-21 17:15:33.513,CA,ON,Mississauga,43.6451,-79.6166,POI3,522465.83203791326
4767,4755508,2017-06-21 07:15:34.903,CA,ON,Oshawa,43.894,-78.8832,POI3,457397.528348939
4768,4755575,2017-06-21 18:15:36.523,CA,AB,Calgary,51.0494,-113.9564,POI1,279464.90023714735
4770,4755731,2017-06-21 14:15:37.190,CA,AB,Calgary,51.0242,-114.1004,POI1,283526.6400944881
4771,4755785,2017-06-21 14:15:37.257,CA,AB,Sherwood Park,53.5263,-113.287,POI1,13317.77727357833
4772,4755791,2017-06-21 18:15:33.370,CA,ON,Scarborough,43.7084,-79.2856,POI3,495437.5044956862
4773,4755803,2017-06-21 09:15:33.517,CA,ON,Etobicoke,43.6928,-79.531,POI3,513967.9547546912
4775,4755895,2017-06-21 05:15:33.580,CA,ON,Scarborough,43.6959,-79.2651,POI3,494569.2288475408
4776,4755934,2017-06-21 12:15:34.000,CA,SK,Saskatoon,52.1225,-106.72488,POI1,480734.4500350864
4777,4755951,2017-06-21 16:15:36.320,CA,AB,Airdrie,51.3082,-114.0398,POI1,251668.09158464614
4778,4756033,2017-06-21 18:15:37.527,CA,AB,Fort Mackay,57.328669999999995,-111.75583999999999,POI1,434483.7427349217
4779,4756069,2017-06-21 14:15:34.027,CA,AB,Edmonton,53.44217,-113.4452,POI1,11870.730699662347
4780,4756133,2017-06-21 18:15:35.637,CA,AB,Calgary,51.053,-114.161,POI1,281000.90732292575
4781,4756144,2017-06-21 19:15:36.827,CA,AB,Cochrane,51.1834,-114.4687,POI1,271065.55241579015
4782,4756202,2017-06-21 16:15:37.107,CA,ON,Newmarket,44.0587,-79.4591,POI3,492533.3200844162
4783,4756272,2017-06-21 13:15:37.120,CA,AB,Calgary,50.9361,-114.08188999999999,POI1,293048.15134056687
4785,4756399,2017-06-21 01:15:37.693,CA,QC,Montréal,45.49577,-73.55319,POI3,3044.3484295473822
4787,4756501,2017-06-21 05:15:41.553,CA,AB,Calgary,51.03922,-113.97842,POI1,280764.4771246211
4788,4756540,2017-06-21 18:15:38.250,CA,AB,Innisfail,52.0269,-113.9507,POI1,171803.16059857866
4789,4756610,2017-06-21 20:15:38.490,CA,NS,Kentville,45.0834,-64.4988,POI4,100515.58970008224
4790,4756686,2017-06-21 05:15:41.670,CA,AB,Fort Mcmurray,56.7141,-111.38,POI1,376791.0661830225
4791,4756761,2017-06-21 14:15:42.673,CA,AB,Edmonton,53.4567,-113.5801,POI1,11744.006229785204
4792,4756811,2017-06-21 11:15:38.470,CA,AB,Calgary,50.8851,-114.076,POI1,298614.3296265278
4793,4756815,2017-06-21 10:15:41.590,CA,ON,Aurora,44.0001,-79.4663,POI3,495475.5260232893
4794,4756912,2017-06-21 13:15:39.413,CA,ON,Scarborough,43.83599,-79.2277,POI3,485162.1470591205
4795,4756916,2017-06-21 10:15:40.517,CA,ON,Cobourg,43.9645,-78.1712,POI3,402736.324064729
4796,4756930,2017-06-21 22:15:43.223,CA,AB,Edmonton,53.5046,-113.453,POI1,5103.445640731222
4797,4756971,2017-06-21 20:15:41.860,CA,AB,Calgary,51.03922,-113.97842,POI1,280764.4771246211
4798,4757048,2017-06-21 18:15:41.923,CA,AB,Fort Mcmurray,56.71674,-111.38118999999999,POI1,377037.08156442107
4799,4757123,2017-06-21 06:15:43.263,CA,AB,Lethbridge,49.6994,-112.822,POI1,430182.8047826506
4800,4757134,2017-06-21 19:15:43.860,CA,ON,Toronto,43.6606,-79.4635,POI3,510625.5508028321
4802,4757197,2017-06-21 07:15:43.207,CA,AB,Calgary,51.0829,-114.095,POI1,277013.35294659506
4803,4757207,2017-06-21 20:15:43.240,CA,AB,Edmonton,53.538709999999995,-113.51924,POI1,2364.0940650292555
4805,4757307,2017-06-21 21:15:43.293,CA,AB,Spruce Grove,53.5533,-113.895,POI1,27049.20538508322
4806,4757356,2017-06-21 09:15:43.347,CA,AB,Calgary,51.091,-114.182,POI1,277069.9483388672
4807,4757393,2017-06-21 09:15:43.480,CA,ON,Innisfil,44.3479,-79.5594,POI3,489360.2081222756
4808,4757402,2017-06-21 16:15:44.183,CA,ON,Toronto,43.672,-79.3791,POI3,503968.9777456182
